ticker,company_name,link,market_cap_B,change,volume,revenue_B,pe_ratio,forward_pe,pb_ratio,peg_ratio,earnings_yield,roe,roa,operating_margin,profit_margin,eps,beta,price_change_52w,rsi,short_percent_float,short_ratio,cash_B,total_debt_B,equity_B,book_value_per_share,dividend_yield,dividend_growth,payout_ratio,buyback_yield,shareholder_yield,price_target_difference,analyst_consensus,analyst_count,revenue_growth_forecast_3y,eps_growth_forecast_3y
MRSH,"Marsh & McLennan Companies, Inc.",https://stockanalysis.com/stocks/mrsh/,89.63,-0.0046,1113032,27.95,22.81,16.98,5.87,2.54,0.044800000000000006,0.259,0.0724,0.2452,0.1424,8.17,0.58,-0.10060000000000001,51.54,0.015700000000000002,2.76,1.7,22.38,15.43,31.77,0.0209,0.10310000000000001,0.48469999999999996,0.0131,0.0344,0.09910000000000001,Hold,23,0.0524,0.08539999999999999
ICE,"Intercontinental Exchange, Inc.",https://stockanalysis.com/stocks/ice/,86.86,-0.0033,1633994,10.56,22.05,18.92,2.96,1.45,0.0461,0.1409,0.0217,0.5241,0.3825,7.08,0.93,-0.12140000000000001,68.42,0.014199999999999999,1.75,1.07,20.53,29.65,52.68,0.013300000000000001,0.0833,0.29359999999999997,0.0095,0.0229,0.19899999999999998,Strong Buy,15,0.0764,0.12210000000000001
BAM,Brookfield Asset Management Ltd.,https://stockanalysis.com/stocks/bam/,86.73,-0.0277,2859201,5.74,30.09,25.84,6.94,,0.034,0.2677,0.1304,0.6585,0.4889,1.72,1.25,-0.16190000000000002,52.66,0.06,9.04,1.5,4.09,11.87,4.7,0.038900000000000004,0.1492,1.1691,-0.005,0.0341,0.0977,Buy,18,0.1813,0.1515
HOOD,"Robinhood Markets, Inc.",https://stockanalysis.com/stocks/hood/,85.92,-0.0383,14044482,4.93,41.09,39.26,8.68,2.08,0.0252,0.23620000000000002,0.0453,0.4603,0.4201,2.26,2.32,-0.1888,46.32,0.042300000000000004,1.48,23.91,22.93,9.54,10.55,,,,-0.0089,-0.0089,0.29309999999999997,Buy,28,0.1834,0.21170000000000003
ITUB,Itaú Unibanco Holding S.A.,https://stockanalysis.com/stocks/itub/,85.25,0.0082,31065216,27.74,9.3,8.15,1.91,,0.1076,0.2148,0.0158,0.3704,0.3258,0.81,0.16,0.10980000000000001,38.08,0.0032,0.97,93.45,215.39,44.01,3.81,0.018600000000000002,-0.807,0.1723,0.0034000000000000002,0.0226,0.1802,Buy,8,0.0672,0.1003
MCO,Moody's Corporation,https://stockanalysis.com/stocks/mco/,83.99,-0.005,517986,8.16,30.85,27.32,27.81,2.17,0.0332,0.7693000000000001,0.1562,0.4619,0.3425,15.74,1.33,-0.0594,53.31,0.0194,3.42,1.5,7.62,3.17,17.47,0.0083,0.0981,0.26170000000000004,0.0207,0.0292,0.1294,Buy,24,0.07440000000000001,0.12279999999999999
APO,"Apollo Global Management, Inc.",https://stockanalysis.com/stocks/apo/,83.12,-0.0196,2558962,35.6,47.65,13.66,3.93,0.99,0.0239,0.11410000000000001,0.009399999999999999,0.21899999999999997,0.0527,2.81,1.51,-0.0397,55.22,0.0504,5.25,47.62,41.88,41.48,34.04,0.0168,0.10279999999999999,0.8009000000000001,0.0048,0.0216,0.1361,Buy,21,-0.387,0.142
TRV,"The Travelers Companies, Inc.",https://stockanalysis.com/stocks/trv/,77.25,0.001,1222014,48.98,9.85,12.26,2.32,,0.1074,0.2651,0.04769999999999999,0.22030000000000002,0.16949999999999998,37.34,0.46,0.3967,53.14,0.0359,3.63,5.06,9.07,33.12,158.78,0.013500000000000002,0.09300000000000001,0.13390000000000002,0.0404,0.054000000000000006,-0.026099999999999998,Hold,29,-0.02,0.0363
NWG,NatWest Group plc,https://stockanalysis.com/stocks/nwg/,76.27,0.005,2918995,22.3,9.34,8.63,1.28,,0.10710000000000001,0.1478,0.0086,0.5075,0.37729999999999997,2.01,0.82,0.2637,52.99,,0.45,302.49,181.86,58.15,6.46,0.049100000000000005,0.4501,0.4595,0.0182,0.0673,0.1506,Buy,4,0.07150000000000001,0.1106
AON,Aon plc,https://stockanalysis.com/stocks/aon/,75.48,-0.0035,704463,17.58,18.9,17.01,7.58,1.64,0.0538,0.447,0.0583,0.2848,0.2227,18.15,0.68,-0.0649,39.86,0.0235,3.52,1.1,15.87,9.71,45.27,0.0095,0.10210000000000001,0.1807,0.0108,0.0203,0.1632,Buy,22,0.0547,0.11810000000000001
